state,x,y
Badakhshan,124,159
Takhar,80,145
Nuristan,145,69
Panjsher,90,70
Baghlan,52,93
Kunduz,40,145
Balkh,-28,141
Jawzjan,-98,154
Faryab,-160,86
Badghis,-199,53
Herat,-261,13
Farah,-257,-80
Nimruz,-242,-167
Helmand,-181,-152
Kandahar,-102,-157
Zabul,-37,-95
Ghazni,4,-34
Paktika,45,-82
Khost,95,-35
Paktia,77,-17
Logar,55,-4
Wardak,21,15
Nangarhar,113,10
Kunar,155,49
Laghman,100,30
Kapisa,80,45
Parwan,43,50
Kabul,76,24
Sar-e Pol,-100,73
Samangan,-16,99
Ghor,-133,11
Daykundi,-83,-26
Urozgan,-77,-62
Bamyan,-30,40
